"Title","URL","Resource type","Citation","Year","Number"
"Introducing quality certification in staple food markets in Sub-Saharan Africa: Four conditions for successful implementation","https://doi.org/10.1016/j.foodpol.2021.102173","Journal article","Abate et al.","2021","1"
"The Past and Future Role of Infrastructure in Asia’s Development","https://www.worldscientific.com/doi/pdf/10.1142/9789811215124_0001","Journal","Abiad et al.","2020","1"
"Chapter 22 - Drought and climate teleconnection and drought monitoring","https://www.sciencedirect.com/science/article/pii/B9780128159989000221","Journal article","Abiy et al.","2019","1"
"Effects of Some Weather Parameters on Oil Palm Production in the Peninsular Malaysia","https://www.preprints.org/manuscript/202106.0456/v1/download","Journal article","Abubakar et al.","2021","1"
"ENVIRONMENTAL CHALLENGES IN THE MENA REGION","https://wedocs.unep.org/bitstream/handle/20.500.11822/31645/EC_MENA.pdf?sequence=1&isAllowed=y","research paper","Abumoghli and Goncalves","2016","1"
"Special Report on Drought 2021","https://reliefweb.int/sites/reliefweb.int/files/resources/GAR","UN Report","AbuZeid et al.","2021","1"
"Research and Development for Improved Cassava Varieties in Ghana: Farmers’ Adoption and Effects on Livelihoods","https://www.intechopen.com/chapters/76626","Journal article","Acheampong et al.","2021","1"
"Chapter 2 - Drought, migration, and conflict in sub-Saharan Africa: what are the links and policy options?","https://www.sciencedirect.com/science/article/abs/pii/B978012814820400002X","Journal article","Adaawen et al.","2019","1"
"Accelerating Financial Inclusion in South-East Asia with Digital Finance","https://www.adb.org/sites/default/files/publication/222061/financial-inclusion-se-asia.pdf","ADB Report","ADB","2008","1"
"Addressing Climate Change and Migration in Asia and the Pacific","https://www.adb.org/sites/default/files/publication/29662/addressing-climate-change-migration.pdf","ADB Report","ADB","2012","1"
"Assessing the Costs of Climate Change and Adaptation in South Asia","https://www.adb.org/sites/default/files/publication/42811/assessing-costs-climate-change-and-adaptation-south-asia.pdf","Report","ADB","2014","1"
"THE AFRICAN DEVELOPMENT BANK GROUP’S SECOND CLIMATE CHANGE ACTION PLAN (2016–2020)","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Publications/AfricanDevelopmentBankClimateChangeActionPlan2016-2020.pdf","ADB Report","ADB","2016","1"
