"Farming system","FS macro region","Landscape","Description"
"Lowland Rice","EAP","Flat",
"Temperate Mixed","EAP","Hilly terrain",
"Upland Intensive Mixed","EAP","Upland",
"Coastal plantation and mixed","LAC","Rich agricultural land",
"Coastal plantation and mixed","LAC","Mangrove swamps",
"Coastal plantation and mixed","LAC","Tropical forest","Isolated areas"
"Dryland mixed","LAC","Dense Forest",
"Dryland mixed","LAC","Dry grasslands",
"Dryland mixed","LAC","Long Coastal plain","For Northern Brazil"
"Dryland mixed","LAC","Karst","Dominated by limestone bedrock in The Yucatan peninsula of Mexico extending to the Northern Peten zone of Guatemala"
"High Altitude Mixed (C. Andes)","LAC","Interwoven ranges dissected by longitudinal valleys","In the north a series of interwoven ranges dissected by longitudinal valleys make up the Peruvian Sierra. Further south, at about latitude 14°South, the Andes divide into two major ranges, enclosing the plateau or altiplano of Peru, Bolivia and Northern Chile and Argentina."
"Maize-beans (Mesoamerica)","LAC","Upland areas",
"High Altitude Mixed (C. Andes)","LAC","Mountainous and rugged terrains",
"High Altitude Mixed (C. Andes)","LAC","Valley bottoms","With steep farming practices"
"Rainfed Mixed","MENA","Vast deserts",
"Rainfed Mixed","SA","Mountainous topography",
"Rice-Wheat","SA","Floodplains",
"Rice","SA","Varies",
"Agro-Pastoral Millet/Sorghum","SSA","Extensive",
"Cereal-Root Crop Mixed","SSA","Savannah",
"Cereal-Root Crop Mixed","SSA","Grasslands with scattered trees",
"Highland Mixed","SSA","Highland",
"Maize Mixed","SSA","Eastern, central and southern Africa",
